Sample_ID,Timestamp,Location_ID,Water_Temp_C,pH_Level,Turbidity_NTU,Dissolved_Oxygen_mgL,Microplastic_Count_per_m3,Dominant_Polymer,Dominant_Morphology,Average_Particle_Size_mm,Risk_Level
SMP-2026-0057,10-01-2026 08:00,LOC-102,26.1,7.02,36.84,5.49,701,PET,Fragment,0.25,Critical
SMP-2026-0058,10-01-2026 12:00,LOC-106,8.5,7.52,13.16,11.66,164,PS,Fragment,2.73,Medium
SMP-2026-0059,10-01-2026 16:00,LOC-106,12.2,6.57,36.91,10.94,641,PET,Fiber,1.37,High
SMP-2026-0060,10-01-2026 20:00,LOC-110,16.3,8.31,24.16,9.28,426,PET,Film,1.19,High
SMP-2026-0061,11-01-2026 00:00,LOC-104,15.1,8,39.65,9.41,782,PA,Microbead,1.6,Critical
SMP-2026-0062,11-01-2026 04:00,LOC-106,26.2,8.78,26.08,6.71,553,PE,Fragment,1.24,High
SMP-2026-0063,11-01-2026 08:00,LOC-102,8.8,8.07,1.82,11.01,45,PS,Fragment,1.22,Low
SMP-2026-0064,11-01-2026 12:00,LOC-110,18.2,6.84,30.56,7.78,377,PA,Foam,2.84,High
SMP-2026-0065,11-01-2026 16:00,LOC-102,21.6,7.73,2.5,7.42,76,PVC,Microbead,0.48,Low
SMP-2026-0066,11-01-2026 20:00,LOC-110,26.6,6.94,20.55,6.29,243,PE,Microbead,3.4,Medium
SMP-2026-0067,12-01-2026 00:00,LOC-104,20.4,8.19,41.86,8.4,652,PE,Fragment,1.96,High
SMP-2026-0068,12-01-2026 04:00,LOC-108,24.1,6.85,7.85,7.04,116,PVC,Fiber,0.68,Medium
SMP-2026-0069,12-01-2026 08:00,LOC-107,9.7,6.83,17.85,11.51,416,PET,Foam,0.5,High
SMP-2026-0070,12-01-2026 12:00,LOC-109,15.7,6.6,32.98,9.81,474,PA,Microbead,2.09,High
SMP-2026-0071,12-01-2026 16:00,LOC-108,15.5,7.16,39.76,9.18,524,PP,Fragment,2.23,High
SMP-2026-0072,12-01-2026 20:00,LOC-105,25.7,7.06,30.36,6.22,583,PS,Microbead,0.23,High
SMP-2026-0073,13-01-2026 00:00,LOC-102,11,6.77,11.99,11.34,231,PP,Foam,0.89,Medium
SMP-2026-0074,13-01-2026 04:00,LOC-105,11,8.39,30.52,10.09,242,PVC,Foam,2.79,Medium
SMP-2026-0075,13-01-2026 08:00,LOC-108,14.6,7.66,13.7,9.83,235,PE,Film,0.22,Medium
SMP-2026-0076,13-01-2026 12:00,LOC-110,9.1,7.61,32.47,10.91,656,PE,Fragment,3,High
SMP-2026-0077,13-01-2026 16:00,LOC-109,11.6,8.19,42.95,11.07,1084,PS,Foam,2.32,Critical
SMP-2026-0078,13-01-2026 20:00,LOC-109,27.3,7.53,32.6,5.8,591,PE,Film,1.55,High
SMP-2026-0079,14-01-2026 00:00,LOC-101,16.6,7.03,38.9,9.02,507,PE,Film,1.25,High
SMP-2026-0080,14-01-2026 04:00,LOC-109,20.6,6.55,0.59,8.68,30,PS,Microbead,0.12,Low
SMP-2026-0081,14-01-2026 08:00,LOC-107,22.5,7,32.43,6.71,745,PA,Microbead,2.9,Critical
SMP-2026-0082,14-01-2026 12:00,LOC-109,15.3,8.15,37.42,9.52,814,PA,Film,0.54,Critical
SMP-2026-0083,14-01-2026 16:00,LOC-108,10.9,6.77,2.3,10.64,39,PS,Microbead,1.12,Low
SMP-2026-0084,14-01-2026 20:00,LOC-101,12.1,7.58,39.29,10.64,368,PVC,Foam,2.01,High
SMP-2026-0085,15-01-2026 00:00,LOC-108,14.3,7.92,11.92,10.67,257,PE,Fiber,0.9,Medium
SMP-2026-0086,15-01-2026 04:00,LOC-108,20.7,7.54,30.11,7.49,362,PE,Foam,1.77,High
SMP-2026-0087,15-01-2026 08:00,LOC-103,16,7.6,36.12,8.6,419,PVC,Film,2.84,High
SMP-2026-0088,15-01-2026 12:00,LOC-101,8.1,7.73,29.99,11.17,264,PA,Film,1.67,Medium
SMP-2026-0089,15-01-2026 16:00,LOC-108,18.5,7.59,4.61,8.33,60,PET,Foam,3.32,Low
SMP-2026-0090,15-01-2026 20:00,LOC-103,26.4,8.2,27.04,6.11,379,PET,Microbead,2.97,High
SMP-2026-0091,16-01-2026 00:00,LOC-103,24.2,6.88,24.96,6.8,502,PET,Microbead,1.2,High
SMP-2026-0092,16-01-2026 04:00,LOC-101,24.5,7.52,40.56,7.55,501,PA,Film,1.43,High
SMP-2026-0093,16-01-2026 08:00,LOC-105,23.9,6.49,18.49,7.64,234,PA,Fragment,1.51,Medium
SMP-2026-0094,16-01-2026 12:00,LOC-110,14.5,6.36,14.79,10.3,175,PVC,Microbead,2.21,Medium
SMP-2026-0095,16-01-2026 16:00,LOC-107,23.3,7.36,33.87,8.27,510,PE,Foam,1.04,High
SMP-2026-0096,16-01-2026 20:00,LOC-110,10.9,7.67,18.86,11.14,178,PVC,Microbead,3.39,Medium
SMP-2026-0097,17-01-2026 00:00,LOC-109,21.2,8.22,29.25,8.19,448,PVC,Foam,2.15,High
SMP-2026-0098,17-01-2026 04:00,LOC-107,20.8,8.61,29.27,8.16,578,PA,Film,1.43,High
SMP-2026-0099,17-01-2026 08:00,LOC-109,8.5,8.06,40.02,11.77,240,PET,Microbead,2.28,Medium
SMP-2026-0100,17-01-2026 12:00,LOC-108,23.8,7.76,27.14,7.06,152,PP,Foam,1.41,Medium
SMP-2026-0101,17-01-2026 16:00,LOC-102,26.1,7.48,22.85,5.97,167,PE,Film,2.87,Medium
SMP-2026-0102,17-01-2026 20:00,LOC-101,13.3,6.63,6.68,9.39,129,PA,Fragment,2.01,Medium
SMP-2026-0103,18-01-2026 00:00,LOC-107,24.2,7.33,5.65,6.67,150,PET,Foam,0.19,Medium
SMP-2026-0104,18-01-2026 04:00,LOC-107,9.6,8.05,7.37,11.4,48,PP,Fragment,0.66,Low
SMP-2026-0105,18-01-2026 08:00,LOC-108,20,7.85,8.15,8.04,206,PP,Fragment,3.03,Medium
SMP-2026-0106,18-01-2026 12:00,LOC-105,17.7,6.76,28.89,8.16,230,PA,Fiber,1.99,Medium
SMP-2026-0107,18-01-2026 16:00,LOC-103,18.9,7.71,33.47,8.25,751,PS,Microbead,3.33,Critical
SMP-2026-0108,18-01-2026 20:00,LOC-108,26.5,7.66,24.08,5.94,372,PE,Foam,0.3,High
SMP-2026-0109,19-01-2026 00:00,LOC-106,25.4,7.57,37.39,6.35,702,PP,Fragment,1.07,Critical
SMP-2026-0110,19-01-2026 04:00,LOC-103,23.7,7.39,44.61,7.14,697,PA,Fiber,0.72,High
SMP-2026-0111,19-01-2026 08:00,LOC-101,13.5,7.73,36.99,10.3,560,PA,Film,1.96,High
SMP-2026-0112,19-01-2026 12:00,LOC-103,26.2,7.75,31.42,5.89,708,PET,Foam,1.37,Critical
SMP-2026-0113,19-01-2026 16:00,LOC-105,10,7.08,24.2,11.49,506,PS,Fragment,0.59,High
SMP-2026-0114,19-01-2026 20:00,LOC-103,25.1,7.63,20.47,7.04,329,PE,Microbead,2.27,Medium
SMP-2026-0115,20-01-2026 00:00,LOC-101,14.6,7.31,4.26,9.78,56,PVC,Fiber,1.9,Low
SMP-2026-0116,20-01-2026 04:00,LOC-105,9.1,6.66,18.27,11.6,150,PET,Fragment,1,Medium
SMP-2026-0117,20-01-2026 08:00,LOC-110,21.4,7.12,41,8.07,885,PP,Microbead,1.71,Critical
SMP-2026-0118,20-01-2026 12:00,LOC-107,12.6,6.62,36.46,9.67,586,PP,Fragment,2.62,High
SMP-2026-0119,20-01-2026 16:00,LOC-107,12.9,7.89,10.11,10.66,169,PET,Foam,0.76,Medium
SMP-2026-0120,20-01-2026 20:00,LOC-109,14.1,7.58,21.26,9.37,416,PA,Foam,1.06,High
SMP-2026-0121,21-01-2026 00:00,LOC-110,9.3,7.22,36.84,10.86,847,PP,Foam,1.24,Critical
SMP-2026-0122,21-01-2026 04:00,LOC-110,11.5,8.11,3.5,10.65,85,PS,Fiber,2.63,Low
SMP-2026-0123,21-01-2026 08:00,LOC-103,8.1,7.43,17.74,10.5,386,PE,Foam,2.97,High
SMP-2026-0124,21-01-2026 12:00,LOC-107,16.9,6.68,38.41,9.02,800,PS,Microbead,1.35,Critical
SMP-2026-0125,21-01-2026 16:00,LOC-101,9.7,7.18,18.47,11.58,249,PP,Fragment,1.07,Medium
SMP-2026-0126,21-01-2026 20:00,LOC-104,21.7,8.22,3.95,6.67,57,PVC,Film,3.12,Low
SMP-2026-0127,22-01-2026 00:00,LOC-104,12.7,7.07,24.64,10.73,534,PE,Microbead,3.5,High
SMP-2026-0128,22-01-2026 04:00,LOC-105,26.9,7.54,38.85,5.58,501,PE,Microbead,2.36,High
SMP-2026-0129,22-01-2026 08:00,LOC-107,25.4,7.77,26.77,6.48,644,PET,Foam,3.47,High
SMP-2026-0130,22-01-2026 12:00,LOC-107,13.8,7.69,10.57,9.58,91,PET,Fiber,2.33,Low
SMP-2026-0131,22-01-2026 16:00,LOC-104,23.7,8.62,17.6,7.18,124,PVC,Fragment,2.58,Medium
SMP-2026-0132,22-01-2026 20:00,LOC-107,24.1,6.81,20.53,7.28,507,PA,Fiber,1.39,High
SMP-2026-0133,23-01-2026 00:00,LOC-103,27.7,6.86,26.28,6.01,504,PE,Fragment,1.54,High
SMP-2026-0134,23-01-2026 04:00,LOC-106,20,6.82,34.29,8,447,PVC,Fragment,0.55,High
SMP-2026-0135,23-01-2026 08:00,LOC-102,9.6,7.25,4.9,10.88,120,PET,Fiber,2.89,Medium
SMP-2026-0136,23-01-2026 12:00,LOC-110,20.9,7.95,40.09,7.7,764,PET,Microbead,3.26,Critical
SMP-2026-0137,23-01-2026 16:00,LOC-109,20.5,6.88,1.05,8.18,36,PE,Fragment,2.2,Low
SMP-2026-0138,23-01-2026 20:00,LOC-105,20.8,7.96,16.97,8.11,141,PS,Fiber,1.24,Medium
SMP-2026-0139,24-01-2026 00:00,LOC-106,14.1,7.42,1.72,10.05,62,PP,Fragment,0.58,Low
SMP-2026-0140,24-01-2026 04:00,LOC-104,25.2,6.85,17.99,5.8,414,PET,Film,0.96,High
SMP-2026-0141,24-01-2026 08:00,LOC-110,27.2,6.52,23.9,5.83,227,PA,Microbead,0.93,Medium
SMP-2026-0142,24-01-2026 12:00,LOC-107,12.4,6.64,23.27,9.96,532,PA,Foam,2.17,High
SMP-2026-0143,24-01-2026 16:00,LOC-109,9.8,7.07,7.87,11.39,199,PET,Fragment,3.31,Medium
SMP-2026-0144,24-01-2026 20:00,LOC-107,11.9,7.32,29.24,10.05,491,PS,Film,0.22,High
SMP-2026-0145,25-01-2026 00:00,LOC-101,24.4,8.07,2.49,6.91,62,PS,Foam,0.05,Low
SMP-2026-0146,25-01-2026 04:00,LOC-101,21.5,7.8,34.4,7.41,458,PVC,Foam,2.12,High
SMP-2026-0147,25-01-2026 08:00,LOC-109,20.7,6.98,42.63,6.85,479,PA,Fragment,1.03,High
SMP-2026-0148,25-01-2026 12:00,LOC-109,16,7.6,15.62,9.67,323,PVC,Fiber,3.09,Medium
SMP-2026-0149,25-01-2026 16:00,LOC-104,19.6,8.23,23.52,8.11,544,PA,Fragment,1.18,High
SMP-2026-0150,25-01-2026 20:00,LOC-109,14.2,8.34,17.36,10.38,328,PP,Film,1.05,Medium
SMP-2026-0151,26-01-2026 00:00,LOC-103,17.5,7.24,0.8,7.92,36,PP,Foam,0.98,Low
SMP-2026-0152,26-01-2026 04:00,LOC-107,23.9,7.88,17.67,6.68,161,PE,Fragment,0.55,Medium
SMP-2026-0153,26-01-2026 08:00,LOC-106,27.6,8.09,35.73,5.61,230,PVC,Fiber,2.06,Medium
SMP-2026-0154,26-01-2026 12:00,LOC-108,26.6,6.65,27.02,6.16,396,PET,Fragment,0.63,High
SMP-2026-0155,26-01-2026 16:00,LOC-109,26.7,7.14,5.01,5.33,44,PVC,Microbead,1.51,Low
SMP-2026-0156,26-01-2026 20:00,LOC-105,16,8.51,38.2,9.47,647,PET,Fiber,1.64,High
SMP-2026-0157,27-01-2026 00:00,LOC-101,17.4,7.25,24.13,9.74,325,PS,Film,0.12,Medium
SMP-2026-0158,27-01-2026 04:00,LOC-103,22.1,5.94,37.96,7.61,794,PVC,Foam,0.11,Critical
SMP-2026-0159,27-01-2026 08:00,LOC-110,26.4,7.34,26.32,6.13,314,PS,Fragment,1.84,Medium
SMP-2026-0160,27-01-2026 12:00,LOC-108,10.8,7.96,25.41,10.07,444,PP,Fiber,2.45,High
SMP-2026-0161,27-01-2026 16:00,LOC-106,14.1,7.4,5.18,9.38,96,PP,Microbead,3.3,Low
SMP-2026-0162,27-01-2026 20:00,LOC-108,10.8,7.76,7.95,10.73,66,PE,Fiber,0.67,Low
SMP-2026-0163,28-01-2026 00:00,LOC-109,20.2,7.87,43.76,7.68,302,PVC,Microbead,0.41,Medium
SMP-2026-0164,28-01-2026 04:00,LOC-104,14.1,7.22,10.67,10.28,133,PS,Film,0.23,Medium
SMP-2026-0165,28-01-2026 08:00,LOC-101,14.5,7.14,44,9.92,1019,PET,Foam,1.55,Critical
SMP-2026-0166,28-01-2026 12:00,LOC-101,9.4,7.48,24.17,12.53,208,PP,Film,2.2,Medium
SMP-2026-0167,28-01-2026 16:00,LOC-110,15,7.49,6.54,9.01,150,PP,Fragment,2.95,Medium
SMP-2026-0168,28-01-2026 20:00,LOC-104,25.2,7.43,4.92,6.46,143,PET,Fiber,2.41,Medium
SMP-2026-0169,29-01-2026 00:00,LOC-107,12.7,7.45,9.79,9.5,226,PS,Microbead,0.77,Medium
SMP-2026-0170,29-01-2026 04:00,LOC-102,21.9,7.03,41.69,6.32,439,PS,Microbead,1.64,High
SMP-2026-0171,29-01-2026 08:00,LOC-103,20.6,7.78,18.93,8.18,458,PVC,Fiber,3.19,High
SMP-2026-0172,29-01-2026 12:00,LOC-101,25.3,7.7,18.1,6.66,143,PVC,Fiber,1.18,Medium
SMP-2026-0173,29-01-2026 16:00,LOC-105,10.6,6.73,14.44,10.39,226,PA,Fragment,1.77,Medium
SMP-2026-0174,29-01-2026 20:00,LOC-101,27.6,7.21,7.04,5.77,183,PA,Film,3.36,Medium
SMP-2026-0175,30-01-2026 00:00,LOC-108,19.7,7.45,22.21,7.78,409,PE,Microbead,2.58,High
SMP-2026-0176,30-01-2026 04:00,LOC-101,27.9,7.13,6.29,5.38,111,PP,Fragment,2.63,Medium
SMP-2026-0177,30-01-2026 08:00,LOC-101,26.2,7.72,37.68,5.98,424,PVC,Film,0.92,High
SMP-2026-0178,30-01-2026 12:00,LOC-102,12.4,7.37,16.98,9.83,230,PS,Fragment,1.48,Medium
SMP-2026-0179,30-01-2026 16:00,LOC-102,9.1,7.48,17.18,10.91,285,PET,Microbead,0.33,Medium
SMP-2026-0180,30-01-2026 20:00,LOC-106,13.1,7.2,21.59,9.73,266,PS,Fiber,2.14,Medium
SMP-2026-0181,31-01-2026 00:00,LOC-107,18.6,6.4,20.26,8.63,507,PP,Fiber,0.41,High
SMP-2026-0182,31-01-2026 04:00,LOC-105,11.4,6.37,44.77,9.19,1072,PA,Film,2.93,Critical
SMP-2026-0183,31-01-2026 08:00,LOC-101,11.3,7.69,24.77,10.5,577,PS,Foam,2.86,High
SMP-2026-0184,31-01-2026 12:00,LOC-101,17.3,7.53,4.42,8.27,78,PE,Film,1.89,Low
SMP-2026-0185,31-01-2026 16:00,LOC-103,8.7,7.62,27.51,10.86,536,PP,Foam,0.54,High
SMP-2026-0186,31-01-2026 20:00,LOC-102,10.4,7.47,7.25,10.62,190,PA,Fragment,0.14,Medium
SMP-2026-0187,01-02-2026 00:00,LOC-105,16.3,7.51,1.88,9.1,54,PET,Fragment,2.8,Low
SMP-2026-0188,01-02-2026 04:00,LOC-110,9.3,7.88,43.7,11.1,595,PA,Microbead,2.12,High
SMP-2026-0189,01-02-2026 08:00,LOC-106,15.9,7.62,34.92,8.7,269,PE,Foam,2.5,Medium
SMP-2026-0190,01-02-2026 12:00,LOC-107,17.5,7.92,44.11,9.11,307,PP,Microbead,1.1,Medium
SMP-2026-0191,01-02-2026 16:00,LOC-104,17,7.49,21.77,8.45,381,PET,Fiber,1.81,High
SMP-2026-0192,01-02-2026 20:00,LOC-107,25.4,7.25,24.19,6.01,452,PE,Foam,2.63,High
SMP-2026-0193,02-02-2026 00:00,LOC-108,18.6,7.5,7.99,8.56,196,PA,Film,1.65,Medium
SMP-2026-0194,02-02-2026 04:00,LOC-101,17.4,6.98,11.49,8.94,151,PE,Fiber,2.12,Medium
SMP-2026-0195,02-02-2026 08:00,LOC-106,16.2,7.21,37.82,8.83,331,PP,Fiber,2.77,Medium
SMP-2026-0196,02-02-2026 12:00,LOC-108,24.4,7.49,16.35,5.21,220,PVC,Film,0.79,Medium
SMP-2026-0197,02-02-2026 16:00,LOC-105,25.9,7.48,37.29,5.79,465,PE,Fiber,0.28,High
SMP-2026-0198,02-02-2026 20:00,LOC-104,25.1,7.35,32.05,6.55,264,PE,Foam,1.88,Medium
SMP-2026-0199,03-02-2026 00:00,LOC-102,21.5,6.71,8.38,7.89,179,PA,Microbead,0.26,Medium
SMP-2026-0200,03-02-2026 04:00,LOC-106,10.7,7.72,23.08,10.75,370,PA,Fiber,2.69,High
SMP-2026-0201,03-02-2026 08:00,LOC-106,13.5,7.82,30.64,9.71,618,PET,Foam,2.53,High
SMP-2026-0202,03-02-2026 12:00,LOC-101,8.9,8.22,10.96,12.48,152,PA,Fragment,3.09,Medium
SMP-2026-0203,03-02-2026 16:00,LOC-109,26.6,7.62,37.47,5.83,445,PS,Foam,2.26,High
SMP-2026-0204,03-02-2026 20:00,LOC-106,21.2,7.4,24.74,7.95,380,PP,Microbead,0.28,High
SMP-2026-0205,04-02-2026 00:00,LOC-103,22.9,6.89,7.85,6.46,206,PP,Foam,0.92,Medium
SMP-2026-0206,04-02-2026 04:00,LOC-104,14.2,8.15,26.44,9.19,172,PVC,Film,2.84,Medium
SMP-2026-0207,04-02-2026 08:00,LOC-104,24.9,7.52,44.99,6.85,964,PVC,Microbead,0.63,Critical
SMP-2026-0208,04-02-2026 12:00,LOC-103,13.2,7.5,7.2,10.56,102,PP,Fragment,2.46,Medium
SMP-2026-0209,04-02-2026 16:00,LOC-110,8,7.27,36.85,11.41,832,PVC,Film,2.74,Critical
SMP-2026-0210,04-02-2026 20:00,LOC-103,15.5,7.24,9.73,8.43,228,PET,Foam,1.19,Medium
SMP-2026-0211,05-02-2026 00:00,LOC-103,19.4,7.74,35.32,8.1,445,PA,Microbead,1.16,High
SMP-2026-0212,05-02-2026 04:00,LOC-104,17.6,6.89,33.19,8.81,648,PP,Fragment,1.97,High
SMP-2026-0213,05-02-2026 08:00,LOC-107,25.2,8.21,13.87,6.49,127,PVC,Film,3.02,Medium
SMP-2026-0214,05-02-2026 12:00,LOC-104,10.1,8.1,15,10.69,363,PP,Fragment,0.82,High
SMP-2026-0215,05-02-2026 16:00,LOC-109,19.1,7.22,35.77,8.19,489,PS,Foam,3.3,High
SMP-2026-0216,05-02-2026 20:00,LOC-101,18.3,6.97,21.03,8.14,314,PE,Fragment,2.12,Medium
SMP-2026-0217,06-02-2026 00:00,LOC-108,13.6,6.39,33.02,9.36,649,PA,Fiber,3.47,High
SMP-2026-0218,06-02-2026 04:00,LOC-107,24.4,6.77,7.09,7.06,173,PP,Film,0.36,Medium
SMP-2026-0219,06-02-2026 08:00,LOC-102,23.1,7.76,38.44,7.12,388,PE,Fragment,0.49,High
SMP-2026-0220,06-02-2026 12:00,LOC-108,22.7,7.56,32.13,7.11,612,PVC,Foam,2.9,High
SMP-2026-0221,06-02-2026 16:00,LOC-101,25.5,7.65,40.86,6.1,550,PE,Foam,3.03,High
SMP-2026-0222,06-02-2026 20:00,LOC-109,22.5,6.48,6.39,7.16,97,PA,Fragment,1.59,Low
SMP-2026-0223,07-02-2026 00:00,LOC-109,12.6,7.2,26.89,10.3,526,PP,Foam,2.51,High
SMP-2026-0224,07-02-2026 04:00,LOC-102,22.1,8.08,27.16,8.23,364,PS,Microbead,3.04,High
SMP-2026-0225,07-02-2026 08:00,LOC-107,14.2,7.35,16.23,10.07,215,PVC,Microbead,0.2,Medium
SMP-2026-0226,07-02-2026 12:00,LOC-110,12.8,6.76,20.9,9.83,480,PP,Microbead,2.03,High
SMP-2026-0227,07-02-2026 16:00,LOC-103,9.5,7.34,2.19,10.82,26,PA,Fiber,2.99,Low
SMP-2026-0228,07-02-2026 20:00,LOC-107,22.9,7.01,33.69,6.72,647,PVC,Fragment,1.42,High
SMP-2026-0229,08-02-2026 00:00,LOC-110,22.2,7.57,24.94,7.24,269,PET,Fiber,1.09,Medium
SMP-2026-0230,08-02-2026 04:00,LOC-109,12.7,7.41,3.07,9.78,33,PE,Foam,2.8,Low
SMP-2026-0231,08-02-2026 08:00,LOC-104,23,7.67,30.79,7.34,277,PA,Fiber,1.21,Medium
